suite,Baseline Scenario,Current Scenario,url,Baseline Pass RPS,Current Pass RPS,Pass RPS Δ,Pass RPS Δ %,Baseline Avg Request Duration,Current Avg Request Duration,Avg Request Duration Δ,Avg Request Duration Δ %,Baseline Pass Rate,Current Pass Rate
REST,accounts,accounts,/accounts?limit=100,372.8,281.3,-91.5,-24.5,3941.7,5247.7,1306,33.1,100,100
REST,accountsBalanceFalse,accountsBalanceFalse,/accounts?balance=false,864.2,551,-313.2,-36.2,1724.6,2697.3,972.7,56.4,100,100
REST,accountsBalanceFalsePubkey,accountsBalanceFalsePubkey,/accounts?balance=false&account.publickey=97c6b472d72b34598dc4f5ca20b68d40916cf9f68f32bbc3dcacebd0680fe920,1476.7,962.7,-514,-34.8,1012.9,1551.2,538.3,53.1,100,100
REST,accountsBalanceGt0,accountsBalanceGt0,/accounts?account.balance=gt:0,785.8,502.6,-283.2,-36,1895.5,2958.9,1063.4,56.1,100,100
REST,accountsBalanceGte0Pubkey,accountsBalanceGte0Pubkey,/accounts?account.balance=gte:0&account.publickey=97c6b472d72b34598dc4f5ca20b68d40916cf9f68f32bbc3dcacebd0680fe920,1289.3,833.4,-455.9,-35.4,1159.6,1790.4,630.8,54.4,100,100
REST,accountsBalanceNe,accountsBalanceNe,/accounts?account.balance=ne:123456&order=desc,1727.3,1095.2,-632.1,-36.6,864.6,1363,498.4,57.6,100,100
REST,accountsCryptoAllowance,accountsCryptoAllowance,/accounts/0.0.9353440/allowances/crypto,11711.8,11415.3,-296.5,-2.5,96.7,98.5,1.8,1.9,100,100
REST,accountsCryptoAllowanceSpender,accountsCryptoAllowanceSpender,/accounts/0.0.9353440/allowances/crypto?spender.id=0.0.9353457,27178,25388.7,-1789.3,-6.6,46.3,50,3.7,8,100,100
REST,accountsId,accountsId,/accounts/3229?timestamp=lte:1781218027.518552946&limit=100,757,644.6,-112.4,-14.8,1967,2309.8,342.8,17.4,100,100
REST,accountsIdNe,accountsIdNe,/accounts?account.id=ne:3229&order=desc,1714.5,1120.6,-593.9,-34.6,871.1,1331.7,460.6,52.9,100,100
REST,accountsIdTimestampLte,accountsIdTimestampLte,/accounts/3229?timestamp=lte:1698181150.152&limit=100,793.3,639.4,-153.9,-19.4,1876.9,2329.8,452.9,24.1,100,100
REST,accountsNfts,accountsNfts,/accounts/1484550/nfts?limit=100,2336.3,1440.2,-896.1,-38.4,617.6,1035.3,417.7,67.6,100,100
REST,accountsTokenAllowance,accountsTokenAllowance,/accounts/1323559/allowances/tokens?limit=100,15462.8,13989.6,-1473.2,-9.5,75.3,85.7,10.4,13.8,100,100
REST,accountsTokens,accountsTokens,/accounts/1007535/tokens?limit=100,4755,4671.4,-83.6,-1.8,117.5,128.7,11.2,9.5,100,100
REST,balances,balances,/balances?limit=100,1675.5,1216.5,-459,-27.4,892.2,1228.3,336.1,37.7,100,100
REST,balancesAccount,balancesAccount,/balances?account.id=eq:3229,2784.5,2016.2,-768.3,-27.6,537.8,742,204.2,38,100,100
REST,balancesAccountTimestamp,balancesAccountTimestamp,/balances?account.id=eq:3229&timestamp=1698342740.152,17705,13597.2,-4107.8,-23.2,83.6,109.4,25.8,30.9,100,100
REST,balancesPublicKeyTimestamp,balancesPublicKeyTimestamp,/balances?account.publickey=97c6b472d72b34598dc4f5ca20b68d40916cf9f68f32bbc3dcacebd0680fe920&timestamp=1698342740.152,3796,2474.4,-1321.6,-34.8,394.7,605.5,210.8,53.4,100,100
REST,balancesTimestamp,balancesTimestamp,/balances?timestamp=1698342740.152&limit=100,6558.2,5642.3,-915.9,-14,159.6,207.8,48.2,30.2,100,100
REST,blocks,blocks,/blocks?limit=100,1833.1,1216.8,-616.3,-33.6,780.8,1224,443.2,56.8,100,100
REST,blocksHash,blocksHash,/blocks/0x0cea33ea68472915e516b507552631ed8066456fe6f1239521fe40760d520603374344120d9687320d7d3137bf639237,667.9,467.2,-200.7,-30,2233,3174.9,941.9,42.2,100,100
REST,blocksNumber,blocksNumber,/blocks/96248435,1725.7,1113.2,-612.5,-35.5,867.1,1342.2,475.1,54.8,100,100
REST,contracts,contracts,/contracts?limit=100,1287.4,1054.3,-233.1,-18.1,1128.1,1403.1,275,24.4,100,100
REST,contractsId,contractsId,/contracts/1077627,5942.6,5080.5,-862.1,-14.5,252,294.8,42.8,17,100,100
REST,contractsIdResults,contractsIdResults,/contracts/1077627/results?limit=100,944.3,959.2,14.9,1.6,1570.5,1546.5,-24,-1.5,100,100
REST,contractsIdResultsLogs,contractsIdResultsLogs,/contracts/1077627/results/logs?limit=100,845.4,812.4,-33,-3.9,1753.8,1827.3,73.5,4.2,100,100
REST,contractsIdResultsTimestamp,contractsIdResultsTimestamp,/contracts/1077627/results/1682635826.366674003,2007.9,1643.8,-364.1,-18.1,745.4,910.6,165.2,22.2,100,100
REST,contractsIdState,contractsIdState,/contracts/1077627/state?limit=100,2615.6,2591.2,-24.4,-0.9,569.3,574.4,5.1,0.9,100,100
REST,contractsIdStateTimestamp,contractsIdStateTimestamp,/contracts/1077627/state?timestamp=1682635826.366674003&limit=100,741.9,730.6,-11.3,-1.5,2008.2,2036.6,28.4,1.4,100,100
REST,contractsResults,contractsResults,/contracts/results?timestamp=lte:1781218027.518552946&limit=100,454,0,-454,-100,3256.8,,,,100,0
REST,contractsResultsId,contractsResultsId,/contracts/results/0x8cc7f0036115d677ed3168b2812d8d78519788d0919e3975e067b8b172ca8a28,1952.5,1277.9,-674.6,-34.6,766.5,998.1,231.6,30.2,100,100
REST,contractsResultsIdActions,contractsResultsIdActions,/contracts/results/0x8cc7f0036115d677ed3168b2812d8d78519788d0919e3975e067b8b172ca8a28/actions?limit=100,7833.2,6864.7,-968.5,-12.4,158.1,199.8,41.7,26.4,100,100
